original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
4801 SARA DR BLDG 1,30.27051982,-97.68984066,2,2025-03-05,Final,HOME (matched to Plan Review Case),high,,,,
1107 OLIVE ST,30.27056305,-97.72793905,1,2025-03-06,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3705 HOLLYWOOD AVE,30.29307374,-97.71817195,1,2025-03-10,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
307 W ELIZABETH ST BLDG 1,,,1,2025-03-11,Active,HOME (matched to Plan Review Case),high,,,,
307 W ELIZABETH ST BLDG 2,,,1,2025-03-11,Active,HOME (matched to Plan Review Case),high,,,,
307 W ELIZABETH ST BLDG 3,,,1,2025-03-13,Active,HOME (matched to Plan Review Case),high,,,,
1911 HAMILTON AVE,30.26715069,-97.71906744,1,2025-03-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1803 WALNUT AVE,30.28019598,-97.71302589,1,2025-03-17,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
605 THERESA AVE,30.27807972,-97.76664329,1,2025-03-19,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
919 GENE JOHNSON ST,30.30754289,-97.71424231,1,2025-03-19,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4713 OAK CLIFF DR,30.28360805,-97.68141693,1,2025-04-01,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2103 S L DAVIS AVE,30.27086998,-97.71695147,1,2025-04-03,Final,HOME (matched to Plan Review Case),high,,,,
3701 STEVENSON AVE,30.30004668,-97.77945361,2,2025-04-08,Active,HOME (matched to Plan Review Case),high,,,,
1616 W 9TH HALF ST,30.2792412,-97.76147249,1,2025-04-09,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
3102 FONTANA DR BLDG 1 UNIT 1A,30.23283458,-97.76186262,2,2025-04-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3102 FONTANA DR BLDG 1 UNIT 1B,30.23283458,-97.76186262,2,2025-04-10,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3701 STEVENSON AVE,30.30004668,-97.77945361,2,2025-04-10,Active,HOME (matched to Plan Review Case),high,,,,
2409 E 11TH ST BLDG 2,30.265913,-97.71596733,1,2025-04-21,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2409 E 11TH ST BLDG 1,30.265913,-97.71596733,1,2025-04-21,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1102 CHARLOTTE ST,30.28105247,-97.76113903,1,2025-04-25,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1802 KINNEY AVE,30.25191081,-97.76872331,1,2025-04-25,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
5509 WILLIAM HOLLAND AVE,30.32883202,-97.73729751,1,2025-04-26,Final,HOME (matched to Plan Review Case),high,,,,
615 W JOHANNA ST,30.24584169,-97.75834529,1,2025-04-28,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1313 CASEY ST,30.22583049,-97.78198927,2,2025-05-05,Active,HOME (matched to Plan Review Case),high,,,,
511 BELLEVUE PL,30.29128948,-97.73334734,2,2025-05-05,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4606 BANISTER LN,30.22136534,-97.78316181,1,2025-05-06,Final,HOME (matched to Plan Review Case),high,,,,
48 WALLER ST,30.25518307,-97.73497857,1,2025-05-08,Final,HOME (matched to Plan Review Case),high,,,,
3002 E 18TH ST,30.28102204,-97.70501449,1,2025-05-09,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
6208 TASAJILLO TRL,30.19627729,-97.88748874,1,2025-05-10,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1202 BIANCA BREEZE PL,30.27616259,-97.68247072,2,2025-05-12,Active,HOME (matched to Plan Review Case),high,,,,
1203 BIANCA BREEZE PL,30.27607738,-97.68233997,2,2025-05-12,Active,HOME (matched to Plan Review Case),high,,,,
11415 1/2 ZIMMERMAN LN,,,1,2025-05-13,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
5912 HAROLD CT,,,2,2025-05-14,Active,HOME (matched to Plan Review Case),high,,,,
1400 MASON AVE,30.27650266,-97.68242336,2,2025-05-14,Active,HOME (matched to Plan Review Case),high,,,,
5912 HAROLD CT BLDG 3,,,2,2025-05-14,Expired,HOME (matched to Plan Review Case),high,,,,
2409 FOREST AVE BLDG 2,30.23955177,-97.7568437,1,2025-05-27,Expired,HOME (matched to Plan Review Case),high,,,,
2409 FOREST AVE BLDG 1,30.23955177,-97.7568437,1,2025-05-27,Expired,HOME (matched to Plan Review Case),high,,,,
6500 HICKMAN AVE,30.31767322,-97.68922409,2,2025-06-08,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
3022 E 14TH HALF ST,30.27896451,-97.70312481,1,2025-06-10,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
932 E 53RD ST,30.31268235,-97.71177286,1,2025-06-11,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1509 E 14TH ST,30.2751318,-97.72349988,1,2025-06-12,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
5509 MEADOW CREST,30.19267459,-97.73530139,1,2025-06-13,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
2604 ST ANTHONY ST,30.29951619,-97.76323328,1,2025-06-18,Active,HOME (matched to Plan Review Case),high,,,,
1008 HILLSIDE AVE,30.25332085,-97.74502068,1,2025-06-18,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1204 MARCY ST BLDG 1A,30.22663703,-97.77912704,2,2025-06-23,Active,HOME (matched to Plan Review Case),high,,,,
1507 JULIET ST,30.25862118,-97.76266489,1,2025-06-23,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2108 E 9TH ST BLDG 2 UNIT A,,,2,2025-06-23,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
45 COMAL ST,30.25284851,-97.73012461,2,2025-06-23,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
2108 E 9TH ST BLDG 2 UNIT B,,,2,2025-06-23,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
4902 AVENUE G,30.31324385,-97.72311579,1,2025-06-26,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1703 E 21ST ST,30.28134184,-97.7232179,2,2025-06-27,Expired,HOME (matched to Plan Review Case),high,,,,
804 GARNER AVE,30.25991397,-97.76596346,2,2025-06-30,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
8403 MESA DR,30.37635792,-97.75392131,2,2025-07-01,Final,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
1505 W BRAKER LN BLDG A,30.3876986,-97.69941957,1,2025-07-01,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
3205 E 16TH ST,,,1,2025-07-02,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1702 PENNSYLVANIA AVE,30.27167954,-97.72104244,1,2025-07-06,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1800 NICKERSON ST,30.2456821,-97.750145,1,2025-07-14,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
4609 SARA DR,30.27145844,-97.69054375,1,2025-07-14,Final,HOME (matched to Plan Review Case),high,,,,
6706 CRUZ ST,30.22809603,-97.69627212,1,2025-07-14,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1415 RAMBLING ROSE RD,30.18592561,-97.80928422,2,2025-07-16,Final,HOME (matched to Plan Review Case),high,,,,
804 WALLER ST,30.26687888,-97.7301677,1,2025-07-23,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
913 CAPITOL CT BLDG 1,30.31901769,-97.73344347,1,2025-07-23,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
93 SAN SABA ST,30.25334345,-97.71554139,1,2025-07-24,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
1204 MARCY ST BLDG 1B,30.22663703,-97.77912704,2,2025-07-28,Active,HOME (matched to Plan Review Case),high,,,,
1204 MARCY ST BLDG 2,30.22663703,-97.77912704,1,2025-07-28,Active,HOME (matched to Plan Review Case),high,,,,
1100 OLIVE ST,30.27090616,-97.72804069,1,2025-07-29,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
2007 E 9TH ST,,,1,2025-07-30,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1904 E 9TH ST,,,1,2025-08-01,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1205 W 10TH ST,30.27639772,-97.75533109,1,2025-08-06,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
1613 W 10TH ST,30.27942402,-97.76098912,1,2025-08-11,Final,"HOME Phase 2 (inferred, small lot)",medium,,,,
607 TILLERY ST BLDG 2,,,1,2025-08-12,Active,HOME (matched to Plan Review Case),high,,,,
607 TILLERY ST BLDG 1,,,1,2025-08-12,Active,HOME (matched to Plan Review Case),high,,,,
607 TILLERY ST BLDG 3,,,1,2025-08-12,Active,HOME (matched to Plan Review Case),high,,,,
6706 CRUZ ST,30.22809603,-97.69627212,1,2025-08-13,Active,"HOME Phase 2 (inferred, small lot)",medium,,,,
2103 GREENWOOD AVE BLDG 2 UNIT B,30.28591172,-97.69842899,1,2025-08-20,Final,HOME (matched to Plan Review Case),high,,,,
1801 VISTA LN,30.29165685,-97.76589559,1,2025-08-20,Final,HOME (matched to Plan Review Case),high,,,,
1801 VISTA LN,30.29165685,-97.76589559,1,2025-08-20,Final,HOME (matched to Plan Review Case),high,,,,
1711 S 5TH ST,30.24973859,-97.76093093,1,2025-08-26,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
609 W 31ST HALF ST,30.29840111,-97.74172931,1,2025-08-26,Expired,"HOME Phase 2 (inferred, small lot)",medium,,,,
5804 1/2 W SLAUGHTER LN,30.20153188,-97.87694191,1,2025-09-02,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2213 POQUITO ST,30.28373815,-97.72096012,67,2025-09-02,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
2401 LAKE AUSTIN BLVD,30.27786674,-97.77290738,1,2025-09-03,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
601 E ST JOHNS AVE,30.33330956,-97.70690973,1,2025-09-08,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
412 1/2 STERZING ST,30.26487718,-97.76357558,1,2025-09-08,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
501 W STASSNEY LN,30.20752963,-97.78031621,1,2025-09-08,Expired,,,"SB840 (possible, has overlay -- verify)",medium,,
1804 E 22ND ST BLDG 1,30.28290975,-97.7224181,1,2025-09-08,Active,HOME (matched to Plan Review Case),high,,,,
2511 HARRIS BLVD,30.29390059,-97.75559253,2,2025-09-09,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
5700 S MOPAC EXPY SB BLDG E UNIT 510,30.22898339,-97.83041163,1,2025-09-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
3909 N IH 35 SVRD NB,30.29622061,-97.71765563,1,2025-09-09,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1301 W 38TH ST,30.30559937,-97.7465252,1,2025-09-10,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1805 S 1ST ST,30.24698433,-97.75580908,1,2025-09-10,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
1418 E 51ST ST,,,1,2025-09-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2917 1/2 GUADALUPE ST,30.29566908,-97.74209109,1,2025-09-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
48 WALLER ST,30.25518307,-97.73497857,1,2025-09-12,Final,HOME (matched to Plan Review Case),high,,,,
7601 BURNET RD,,,1,2025-09-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6506 BURNET RD,,,1,2025-09-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
6317 FM 2244 RD BLDG 3 UNIT 310,30.29636981,-97.83218847,1,2025-09-15,Final,,,"SB840 (possible, has overlay -- verify)",medium,,
