original_address1,latitude,longitude,housing_units,issue_date,status_current,home_flag,home_confidence,sb840_flag,sb840_confidence,sb15_flag,sb15_confidence
3700 THOMPSON ST,30.26583981,-97.69656875,4,2026-08-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
624 N PLEASANT VALLEY RD,30.25905298,-97.71042194,1,2026-08-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
7710 N FM 620 RD BLDG 9,,,1,2026-08-06,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
11521 N FM 620 RD BLDG C UNIT 850,,,1,2026-08-07,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
5703 MANOR RD,,,1,2026-08-09,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6018 WILHELMINA DELCO DR,30.32542436,-97.71148371,1,2026-08-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2610 W 10TH ST,30.2853962,-97.77423832,2,2026-08-11,Active,"HOME Phase 1 (inferred, 2-3 unit)",medium,,,,
11521 N FM 620 RD BLDG A,,,1,2026-08-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
215 1/2 E WELLS BRANCH PKWY,,,1,2026-08-11,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
608 BLANCO ST,30.27343541,-97.75709911,2,2026-08-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
1309 CHICON ST,30.2755887,-97.7200082,1,2026-08-12,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
2806 SAN PEDRO ST,30.29397197,-97.74589553,2,2026-08-12,Active,HOME (matched to Plan Review Case),high,,,,
4220 MONTEREY OAKS BLVD BLDG 2,30.22998937,-97.83249176,1,2026-08-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
6818 AUSTIN CENTER BLVD,30.35058809,-97.75177851,3,2026-08-13,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
4704 E CESAR CHAVEZ ST BLDG B,,,1,2026-08-15,Active,,,"SB840 (possible, has overlay -- verify)",medium,,
